miss,cache_ref,instruction,ipc,replica_num,transfer,bitrate
13923927,70182226,5728282646,0.800000000,20,1.43,1.22
12915934,66305429,5458675168,0.800000000,20,1.34,1.14
13610544,69337656,5718861251,0.800000000,20,1.51,1.29
13081146,67725783,5523697019,0.800000000,20,1.55,1.32
12894490,67419920,5598835488,0.800000000,20,1.53,1.31
12932782,65522727,5316367887,0.600000000,20,1.42,1.21
13813191,69232366,5772692820,0.800000000,20,1.48,1.27
12768088,65393852,5347044741,0.800000000,20,1.41,1.21

15308122,82407531,6954738442,0.833333333,30,1.47,1.26
15232272,80230152,6711789391,0.833333333,30,1.33,1.14
15241044,80894767,6757718285,0.833333333,30,1.58,1.35
15965546,82545675,6988378905,0.833333333,30,1.43,1.22
15378309,82061986,6854291182,0.833333333,30,1.34,1.14
15414559,81081507,6805075099,0.833333333,30,1.51,1.29
15232131,81267250,6772818664,0.833333333,30,1.55,1.32
16011091,83720270,7095886230,0.714285714,30,1.53,1.31
15911383,83445159,6986120547,0.833333333,30,1.42,1.21
16250902,84762979,7095546768,0.714285714,30,1.48,1.27

18207953,98878625,8586531904,0.750000000,40,1.47,1.26
17934494,97718034,8881636007,0.750000000,40,1.33,1.14
17891770,96289316,8208836410,0.750000000,40,1.58,1.35
17700357,96396880,8165889316,0.750000000,40,1.43,1.22
18413786,98344062,8442277996,0.750000000,40,1.34,1.14
18009472,95876000,8241856377,0.750000000,40,1.51,1.29
19479171,101982039,8738215888,0.875000000,40,1.55,1.32
17363278,94886836,7962849543,0.857142857,40,1.53,1.31
17029489,94235855,8076878716,0.750000000,40,1.42,1.21
15526771,88160259,7724430369,0.857142857,40,1.48,1.27

20584148,112053862,9567849193,0.777777778,50,1.79,1.54
20841039,113901700,9819208706,0.888888889,50,1.73,1.48
20411244,112823878,9620960875,0.777777778,50,1.85,1.59
20720743,114752754,9911665501,0.888888889,50,1.82,1.56
19944143,112271499,9760147834,0.888888889,50,1.75,1.50
20724374,114282949,9909938996,0.888888889,50,1.85,1.58
19980358,111358453,9450271253,0.777777778,50,1.77,1.52
21175147,115650964,9978360961,0.888888889,50,1.66,1.42
20169452,111359830,9497653385,0.777777778,50,1.72,1.47

22970456,128073193,11221075828,0.818181818,60,1.61,1.38
23617973,129262692,11209479111,0.818181818,60,1.39,1.19
23012863,129442564,11195174525,0.818181818,60,1.39,1.19
22828805,127848233,11007046096,0.818181818,60,1.54,1.32
23215984,127366562,11108791081,0.818181818,60,1.43,1.22
22877639,126074979,10955074774,0.900000000,60,1.56,1.34
22442465,126124569,10969673457,0.900000000,60,1.54,1.32
23020701,126653339,11325634145,0.818181818,60,1.57,1.34
23079019,129539914,11173112013,0.818181818,60,1.94,1.67
23587163,127065465,10958630052,0.900000000,60,1.84,1.58

25101941,140119835,12182309813,0.833333333,70,1.77,1.52
25787311,145568662,12777987682,0.833333333,70,1.37,1.17
25886985,141932109,12820491800,0.833333333,70,1.29,1.10
25596201,144952903,12790404311,0.833333333,70,1.94,1.66
26574081,147387637,12784515845,0.833333333,70,1.69,1.45
26347644,144849396,13006392220,0.846153846,70,1.38,1.17
24047681,137025248,11836667102,0.909090909,70,1.47,1.26
26063476,144850161,12641791874,0.833333333,70,1.40,1.20
26103743,143637317,12375198591,0.833333333,70,1.55,1.33
24200972,137820707,11988938979,0.909090909,70,1.46,1.25

